"Periodo","Total_entre65y79","Total_mas80","porc_total_entre65y79","porc_total_mas80"
1908,965277.86,174178.61,4.91119752123708,0.886196185712289
1909,961236.26,177096.93,4.83963119502467,0.891647415559521
1910,978692.04,178463.41,4.89622935309088,0.892822002000438
1911,972954,179501.7,4.8590769353948,0.896458178222359
1912,1005131.31,178859.67,4.97621802299031,0.885500933644282
1913,1002796.13,180989.25,4.91199909763858,0.886540151169393
1914,1023065.13,182612.55,4.96679137484227,0.8865500462106
1915,1002426.66,183303.51,4.8266974298748,0.882608789159727
1916,1139778.58,183543.68,5.4379235163993,0.875693324363463
1917,1115700.52,184864.56,5.27864473338333,0.874638237179656
1918,1122565.8,183513.79,5.27020430639363,0.861557662224002
1919,1085669.94,182935.18,5.11041197800236,0.861103453845298
1920,1094095.63,184918.36,5.1186073714634,0.865120428837581
1921,1073679,189158.59,5.02491643743806,0.88527959303815
1922,1099995.6,193599.48,5.09684381859674,0.897045690838712
1923,1100270.28,198103.81,5.04476343679417,0.908310326602313
1924,1119236.33,201697.29,5.07711596456806,0.91494575687077
1925,1109337.39,206760.27,4.9771753190307,0.927654762272211
1926,1235324.45,208747.11,5.48583512996873,0.927005232768968
1927,1220635.89,212758.78,5.35701449448716,0.933736159674451
1928,1235883.71,214427.91,5.36520613170302,0.930872320940507
1929,1229332.84,221397.28,5.27174412804854,0.949417255302412
1930,1252919.16,229614.64,5.31383391522756,0.973833029630393
1931,1263631,238115.88,5.33391514074482,1.0051113794959
1932,1299219.2,239786.37,5.41274630256398,0.998986766530804
1933,1304767.89,244273.01,5.35969448375085,1.00341885653411
1934,1330626.51,247838.06,5.39001852951884,1.00392689134083
1935,1313479.06,251926.69,5.25354674334761,1.00763589014647
1936,1425543.99,256093.46,5.63157549974755,1.01169074058639
1937,1419669.23,259122.51,5.54859898120223,1.01274780393216
1938,1443011.81,255760.38,5.60159048527202,0.992829650588622
1939,1429402.33,247420.55,5.52800809308966,0.95686342052954
1940,1457424.69,246000.71,5.62637282894072,0.9496831775535
1941,1475609,249530.7,5.66677267286745,0.958271298021012
1942,1480902.06,239809.17,5.68159209331454,0.920045910515056
1943,1491091.37,239884.83,5.69251385657554,0.915804186270134
1944,1526530.04,246431.69,5.77313224487059,0.9319716601823
1945,1521985.76,252131.13,5.7037401121831,0.944877723239048
1946,1619316.39,261081.2,6.00675721854195,0.968465083420538
1947,1622423.6,264365.25,5.96930927883808,0.97266702717302
1948,1653221.47,267103.58,6.02716278661204,0.973781666135059
1949,1676161.95,275303.01,6.03948478292459,0.991961629715038
1950,1723319.81,283113.79,6.15129406542474,1.01055890274186
1951,1756549,293372.59,6.24574948202465,1.04314294792387
1952,1791881.96,295510.33,6.333870803094,1.04455778504499
1953,1827161.85,305937.69,6.40674372131827,1.07273713848727
1954,1880398.01,313822.54,6.54096755927701,1.09163221966498
1955,1901554.9,325066.09,6.56228140128281,1.12180571625606
1956,1963063.58,335160.98,6.71959716923309,1.14726124787328
1957,1968439.63,339591.62,6.68494432117067,1.15327441951377
1958,2001274.85,346112.27,6.73618328905694,1.16499524756011
1959,2039018,358758.67,6.79543697653891,1.19563531649643
1960,2084964.91,371844.83,6.88212857841671,1.2273990411088
1961,2139852,385850.88,7.00766973204388,1.26359932035416
1962,2216765.29,400409.53,7.17680139753807,1.29633014710888
1963,2258869.1,408389.26,7.2359176697884,1.30820819258
1964,2302117.75,416608.98,7.29445647037164,1.32006109147802
1965,2333598.51,429919.51,7.3071765049045,1.34620318319969
1966,2436655.79,445206.91,7.54647525532083,1.37883362254167
